timestamp,x_normalized,y_normalized
1746689349330,0.5078,0.6618
1746689349346,0.5078,0.6618
1746689349362,0.5078,0.6618
1746689349378,0.5078,0.6618
1746689349393,0.5078,0.6618
1746689349410,0.5078,0.6618
1746689349426,0.5078,0.6618
1746689349442,0.5078,0.6618
1746689349458,0.5078,0.6618
1746689349474,0.5078,0.6618
1746689349490,0.5078,0.6618
1746689349506,0.5078,0.6618
1746689349522,0.5078,0.6618
1746689349538,0.5078,0.6618
1746689349553,0.5078,0.6618
1746689349569,0.5078,0.6618
1746689349585,0.5078,0.6618
1746689349601,0.5078,0.6618
1746689349617,0.5078,0.6618
1746689349633,0.5078,0.6618
1746689349650,0.5078,0.6618
1746689349666,0.5078,0.6618
1746689349682,0.5078,0.6618
1746689349698,0.5078,0.6618
1746689349714,0.5078,0.6618
1746689349730,0.5078,0.6618
1746689349745,0.5078,0.6618
1746689349762,0.5078,0.6618
1746689349778,0.5078,0.6618
1746689349794,0.5078,0.6618
1746689349810,0.5078,0.6618
1746689349826,0.5078,0.6618
1746689349842,0.5078,0.6618
1746689349857,0.5078,0.6618
1746689349873,0.5078,0.6618
1746689349889,0.5078,0.6618
1746689349905,0.5078,0.6618
1746689349921,0.5078,0.6618
1746689349937,0.5078,0.6618
1746689349954,0.5078,0.6618
1746689349970,0.5078,0.6618
1746689349985,0.5078,0.6618
1746689350002,0.5078,0.6618
1746689350018,0.5078,0.6618
1746689350033,0.5078,0.6618
1746689350050,0.5078,0.6618
1746689350066,0.5078,0.6618
1746689350081,0.5078,0.6618
1746689350098,0.5078,0.6618
1746689350114,0.5078,0.6618
1746689350130,0.5078,0.6618
1746689350145,0.5078,0.6618
1746689350162,0.5078,0.6618
1746689350178,0.5078,0.6618
1746689350194,0.5078,0.6618
1746689350210,0.5078,0.6618
1746689350226,0.5078,0.6618
1746689350242,0.5078,0.6618
1746689350258,0.5078,0.6618
1746689350274,0.5078,0.6618
1746689350290,0.5078,0.6618
1746689350306,0.5078,0.6618
1746689350322,0.5078,0.6618
1746689350338,0.5078,0.6618
1746689350354,0.5078,0.6618
1746689350369,0.5078,0.6618
1746689350385,0.5078,0.6618
1746689350401,0.5078,0.6618
1746689350418,0.5078,0.6618
1746689350434,0.5078,0.6618
1746689350450,0.5078,0.6618
1746689350466,0.5078,0.6618
1746689350482,0.5078,0.6618
1746689350498,0.5078,0.6618
1746689350514,0.5078,0.6618
1746689350530,0.5078,0.6618
1746689350546,0.5078,0.6618
1746689350561,0.5078,0.6618
1746689350577,0.5078,0.6618
1746689350593,0.5078,0.6618
1746689350609,0.5078,0.6618
1746689350626,0.5078,0.6618
1746689350642,0.5078,0.6618
1746689350658,0.5078,0.6618
1746689350674,0.5078,0.6618
1746689350690,0.5078,0.6618
1746689350706,0.5078,0.6618
1746689350722,0.5078,0.6618
1746689350738,0.5078,0.6618
1746689350754,0.5078,0.6618
1746689350770,0.5078,0.6618
1746689350786,0.5078,0.6618
1746689350802,0.5078,0.6618
1746689350818,0.5078,0.6618
1746689350834,0.5078,0.6618
1746689350850,0.5078,0.6618
1746689350866,0.5078,0.6618
1746689350881,0.5078,0.6618
1746689350897,0.5078,0.6618
1746689350913,0.5078,0.6618
1746689350929,0.5078,0.6618
1746689350946,0.5078,0.6618
1746689350962,0.5078,0.6618
1746689350978,0.5078,0.6618
1746689350994,0.5078,0.6618
1746689351010,0.5078,0.6618
1746689351026,0.5078,0.6618
1746689351042,0.5078,0.6618
1746689351058,0.5078,0.6618
1746689351074,0.5078,0.6618
1746689351090,0.5078,0.6618
1746689351106,0.5078,0.6618
1746689351122,0.5078,0.6618
1746689351138,0.5078,0.6618
1746689351154,0.5078,0.6618
1746689351170,0.5078,0.6618
1746689351186,0.5078,0.6618
1746689351202,0.5078,0.6618
1746689351217,0.5078,0.6618
1746689351233,0.5078,0.6618
1746689351249,0.5078,0.6618
1746689351265,0.5078,0.6618
1746689351282,0.5078,0.6618
1746689351298,0.5078,0.6618
1746689351314,0.5078,0.6618
1746689351330,0.5078,0.6618
1746689351345,0.5078,0.6618
1746689351362,0.5078,0.6618
1746689351378,0.5078,0.6618
1746689351394,0.5078,0.6618
1746689351410,0.5078,0.6618
1746689351426,0.5078,0.6618
1746689351441,0.5078,0.6618
1746689351457,0.5078,0.6618
1746689351473,0.5078,0.6618
1746689351489,0.5078,0.6618
1746689351505,0.5078,0.6618
1746689351522,0.5078,0.6618
1746689351538,0.5078,0.6618
1746689351554,0.5078,0.6618
1746689351570,0.5078,0.6618
1746689351586,0.5078,0.6618
1746689351602,0.5078,0.6618
1746689351618,0.5078,0.6618
1746689351634,0.5078,0.6618
1746689351650,0.5078,0.6618
1746689351666,0.5078,0.6618
1746689351682,0.5078,0.6618
1746689351697,0.5078,0.6618
1746689351713,0.5078,0.6618
1746689351729,0.5078,0.6618
1746689351745,0.5078,0.6618
1746689351762,0.5078,0.6618
1746689351778,0.5078,0.6618
1746689351794,0.5078,0.6618
1746689351809,0.5078,0.6618
1746689351825,0.5078,0.6618
1746689351841,0.5078,0.6618
1746689351858,0.5078,0.6618
1746689351874,0.5078,0.6618
1746689351889,0.5078,0.6618
1746689351905,0.5078,0.6618
1746689351921,0.5078,0.6618
1746689351937,0.5078,0.6618
1746689351953,0.5073,0.6618
1746689351969,0.5073,0.6618
1746689351986,0.5073,0.6618
1746689352001,0.5062,0.6618
1746689352017,0.5062,0.6618
1746689352034,0.5057,0.6618
1746689352050,0.5057,0.6608
1746689352066,0.5057,0.6608
1746689352082,0.5057,0.6608
1746689352098,0.5057,0.6608
1746689352114,0.5057,0.6608
1746689352129,0.5057,0.6608
1746689352146,0.5057,0.6608
1746689352161,0.5057,0.6608
1746689352177,0.5057,0.6608
1746689352193,0.5057,0.6608
1746689352209,0.5057,0.6608
1746689352225,0.5057,0.6608
1746689352241,0.5057,0.6608
1746689352257,0.5057,0.6608
1746689352274,0.5057,0.6608
1746689352290,0.5057,0.6608
1746689352306,0.5057,0.6608
1746689352322,0.5057,0.6608
1746689352338,0.5057,0.6608
1746689352354,0.5057,0.6608
1746689352370,0.5057,0.6608
1746689352386,0.5057,0.6608
1746689352402,0.5057,0.6608
1746689352418,0.5057,0.6608
1746689352434,0.5057,0.6608
1746689352450,0.5057,0.6608
1746689352466,0.5057,0.6608
1746689352482,0.5057,0.6608
1746689352498,0.5057,0.6608
1746689352514,0.5057,0.6608
1746689352530,0.5057,0.6608
1746689352546,0.5057,0.6608
1746689352562,0.5057,0.6608
1746689352578,0.5057,0.6608
1746689352594,0.5057,0.6608
1746689352610,0.5057,0.6608
1746689352626,0.5057,0.6608
1746689352642,0.5057,0.6608
1746689352657,0.5057,0.6608
1746689352673,0.5057,0.6608
1746689352689,0.5057,0.6608
1746689352705,0.5057,0.6608
1746689352722,0.5057,0.6608
1746689352737,0.5057,0.6608
1746689352754,0.5057,0.6608
1746689352770,0.5057,0.6608
1746689352786,0.5057,0.6608
1746689352802,0.5057,0.6608
1746689352818,0.5057,0.6608
1746689352834,0.5057,0.6608
1746689352850,0.5057,0.6608
1746689352866,0.5057,0.6608
1746689352882,0.5057,0.6608
1746689352898,0.5057,0.6608
1746689352914,0.5057,0.6608
1746689352930,0.5057,0.6608
1746689352946,0.5057,0.6608
1746689352962,0.5057,0.6608
1746689352978,0.5057,0.6608
1746689352994,0.5057,0.6608
1746689353010,0.5057,0.6608
1746689353026,0.5057,0.6608
1746689353042,0.5057,0.6608
1746689353057,0.5052,0.6618
1746689353073,0.5052,0.6628
1746689353088,0.5052,0.6649
1746689353105,0.5052,0.6691
1746689353122,0.5057,0.6722
1746689353138,0.5057,0.6722
1746689353154,0.5068,0.6743
1746689353170,0.5073,0.6764
1746689353185,0.5078,0.6775
1746689353201,0.5083,0.6785
1746689353217,0.5089,0.6795
1746689353234,0.5089,0.6806
1746689353249,0.5089,0.6806
1746689353266,0.5089,0.6806
1746689353282,0.5089,0.6806
1746689353298,0.5089,0.6806
1746689353314,0.5089,0.6806
1746689353330,0.5089,0.6806
1746689353346,0.5089,0.6806
1746689353362,0.5089,0.6806
1746689353377,0.5089,0.6806
1746689353394,0.5089,0.6806
1746689353410,0.5089,0.6806
1746689353426,0.5089,0.6806
1746689353441,0.5089,0.6806
1746689353457,0.5089,0.6806
1746689353473,0.5089,0.6806
1746689353489,0.5089,0.6806
1746689353506,0.5089,0.6806
1746689353522,0.5089,0.6806
1746689353538,0.5089,0.6806
1746689353553,0.5089,0.6806
1746689353570,0.5089,0.6806
1746689353586,0.5089,0.6795
1746689353601,0.5089,0.6795
1746689353618,0.5089,0.6795
1746689353633,0.5089,0.6785
1746689353649,0.5083,0.6785
1746689353665,0.5083,0.6785
1746689353682,0.5083,0.6775
1746689353698,0.5083,0.6775
1746689353714,0.5083,0.6775
1746689353729,0.5083,0.6775
1746689353745,0.5083,0.6775
1746689353762,0.5078,0.6775
1746689353776,0.5078,0.6775
1746689353793,0.5078,0.6764
1746689353810,0.5078,0.6764
1746689353825,0.5078,0.6764
1746689353841,0.5078,0.6764
1746689353856,0.5078,0.6764
1746689353873,0.5078,0.6754
1746689353890,0.5078,0.6754
1746689353905,0.5073,0.6754
1746689353922,0.5073,0.6754
1746689353937,0.5073,0.6754
1746689353953,0.5073,0.6754
1746689353970,0.5073,0.6743
1746689353986,0.5073,0.6743
1746689354002,0.5068,0.6743
1746689354018,0.5068,0.6743
1746689354034,0.5068,0.6743
1746689354049,0.5068,0.6743
1746689354066,0.5068,0.6743
1746689354082,0.5068,0.6733
1746689354097,0.5062,0.6722
1746689354113,0.5062,0.6722
1746689354129,0.5062,0.6712
1746689354145,0.5057,0.6701
1746689354162,0.5057,0.6691
1746689354177,0.5052,0.6681
1746689354193,0.5052,0.6670
1746689354209,0.5052,0.6660
1746689354226,0.5047,0.6660
1746689354241,0.5047,0.6649
1746689354257,0.5047,0.6649
1746689354273,0.5047,0.6639
1746689354289,0.5047,0.6639
1746689354305,0.5047,0.6639
1746689354321,0.5042,0.6639
1746689354338,0.5042,0.6639
1746689354353,0.5042,0.6639
1746689354369,0.5042,0.6639
1746689354386,0.5042,0.6639
1746689354402,0.5042,0.6639
1746689354418,0.5042,0.6639
1746689354433,0.5042,0.6639
